angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.06,,"[1997, 853, 185, 233]",,0.0,,0.03,,0.22,,0.07,,0.62,,0.0,
0.06,,"[1997, 853, 185, 232]",,0.0,,0.02,,0.1,,0.05,,0.76,,0.0,
0.07,,"[1999, 854, 183, 234]",,0.0,,0.05,,0.17,,0.08,,0.63,,0.0,
0.08,,"[2001, 852, 184, 233]",,0.01,,0.04,,0.03,,0.04,,0.8,,0.0,
0.08,,"[2002, 852, 184, 233]",,0.0,,0.04,,0.01,,0.03,,0.82,,0.0,
0.09,,"[2002, 852, 186, 233]",,0.0,,0.05,,0.01,,0.02,,0.82,,0.0,
0.08,,"[2003, 851, 185, 234]",,0.0,,0.04,,0.0,,0.02,,0.85,,0.0,
0.08,,"[2004, 850, 186, 234]",,0.0,,0.09,,0.0,,0.06,,0.77,,0.0,
0.09,,"[2005, 851, 185, 232]",,0.0,,0.1,,0.0,,0.13,,0.67,,0.0,
0.08,,"[2007, 855, 176, 225]",,0.0,,0.1,,0.0,,0.06,,0.75,,0.0,
0.07,,"[2008, 855, 175, 225]",,0.0,,0.06,,0.0,,0.13,,0.73,,0.0,
0.05,,"[2008, 857, 176, 222]",,0.0,,0.06,,0.01,,0.17,,0.72,,0.0,
0.08,,"[2008, 857, 177, 225]",,0.0,,0.08,,0.0,,0.12,,0.71,,0.0,
0.17,,"[2007, 856, 178, 229]",,0.0,,0.06,,0.0,,0.06,,0.71,,0.0,
0.18,,"[2008, 859, 174, 231]",,0.01,,0.04,,0.0,,0.07,,0.7,,0.0,
0.25,,"[2006, 858, 175, 233]",,0.01,,0.04,,0.0,,0.06,,0.64,,0.0,
0.26,,"[2006, 859, 175, 233]",,0.01,,0.03,,0.0,,0.04,,0.66,,0.0,
0.17,,"[2005, 857, 176, 237]",,0.0,,0.03,,0.0,,0.03,,0.77,,0.0,
0.15,,"[2004, 859, 183, 236]",,0.04,,0.05,,0.0,,0.02,,0.73,,0.0,
0.15,,"[2004, 859, 184, 234]",,0.01,,0.06,,0.0,,0.05,,0.74,,0.0,
0.11,,"[2004, 859, 185, 234]",,0.01,,0.06,,0.0,,0.07,,0.75,,0.0,
0.11,,"[2006, 859, 185, 233]",,0.02,,0.07,,0.0,,0.12,,0.68,,0.0,
0.2,,"[2002, 854, 187, 241]",,0.01,,0.09,,0.01,,0.16,,0.53,,0.0,
0.21,,"[2003, 853, 188, 242]",,0.0,,0.1,,0.01,,0.23,,0.44,,0.0,
0.31,,"[2005, 854, 187, 240]",,0.01,,0.11,,0.01,,0.16,,0.4,,0.0,
0.26,,"[2014, 858, 173, 229]",,0.01,,0.09,,0.01,,0.1,,0.53,,0.0,
0.32,,"[2007, 856, 183, 232]",,0.0,,0.12,,0.01,,0.25,,0.29,,0.0,
0.23,,"[2008, 857, 183, 230]",,0.0,,0.1,,0.01,,0.36,,0.3,,0.0,
0.15,,"[2009, 855, 181, 230]",,0.0,,0.05,,0.01,,0.4,,0.4,,0.0,
0.14,,"[2010, 855, 181, 230]",,0.0,,0.07,,0.01,,0.47,,0.32,,0.0,
0.14,,"[2010, 855, 181, 230]",,0.0,,0.07,,0.01,,0.46,,0.32,,0.0,
0.23,,"[2010, 858, 181, 229]",,0.0,,0.07,,0.01,,0.22,,0.47,,0.0,
0.23,,"[2009, 856, 183, 233]",,0.0,,0.08,,0.0,,0.09,,0.59,,0.0,
0.21,,"[2008, 855, 181, 235]",,0.0,,0.06,,0.01,,0.15,,0.56,,0.0,
0.15,,"[2005, 854, 186, 243]",,0.0,,0.08,,0.01,,0.23,,0.52,,0.0,
0.22,,"[2005, 858, 186, 237]",,0.0,,0.08,,0.02,,0.28,,0.4,,0.0,
0.2,,"[2006, 857, 184, 241]",,0.0,,0.1,,0.01,,0.22,,0.46,,0.0,
0.12,,"[2009, 860, 182, 237]",,0.0,,0.08,,0.01,,0.32,,0.45,,0.0,
0.1,,"[2009, 857, 181, 242]",,0.0,,0.06,,0.07,,0.3,,0.47,,0.0,
0.2,,"[2007, 854, 184, 248]",,0.0,,0.04,,0.07,,0.49,,0.21,,0.0,
0.23,,"[2004, 856, 188, 249]",,0.0,,0.05,,0.06,,0.19,,0.48,,0.0,
